3382	9207018
5988	9401080
5989	0004042
5982	9309010
5983	0205191
5980	9502017 9610062 9610060 0003281 0011006 9406136 9602084 9403041 9804006 0010112 0205009 9805131 9512123 0007079 9502007 9906204 9902125 9910174 9501070 9911134 9810042 0104124 0110115 9409106 9710023 0210091 0203134 9506205 9803109 9611060 9604013 0211019 9812092 0212060 9903109 9508159 9802107 9712164
5981	9410143 9808072 9805072 9806060 9807064
5986	9204036 0202121
5987	0204030
5984	0105128 0103039 9709149 9604138 0303137 9306120 0203159 9305081 9309109 0102047 0005243 0204106 0210232 0211109 0203037
5985	9912194 0103172 0102081 9707039 0302215 0010185 0208088 9603120 0104129 9810094 0204053 0210287 9606125 9606124 9806073 9902076 9611096 9510056
6487	0208076 0109052
6796	9310038 9910139 0001164 0001163 0207007 0211276 0207078 9909189 0006230 0005018 9210005 9606137 0003125 9212022 9903040 9709135 9506062
6797	9309134 9311036 9207088 9406107 9207104
6794	0011077 9602055 9602056 9603112 9906214 9805091 0007097 9802088 9301100 0003022 9307109 9611023 9503229 9601143 0012167 0012169 0211250 0205204 9905006 9707068 9403176 9502156 0202195 0001049 9903123 9204041 9606059 9702037 9407161 0107057 9607141 9604009
6795	0210022 0209107
6792	9502044
6793	9910208 0102033 0106243 9204012 9905165
6790	9510009 9304055 9807124 9804176 0108183 9412196 9811228 0207026 9211027 9609130 9702110 9303017 9307171 9901162 9907133 9504129 9903232 9207049 0209064 0302221 9204037 9610053 9709004 9901020
6791	9409046 9408030 9409081 9609240 9602152 9503192
6798	9412097 9211006 9211005 0008225 0211108
6799	9201075
2147	9410083
270	9406051 9406050
271	0105293 0012129
272	0008163 9712002 9312031 0103104 9907049 9605138 9804004 9611181 9410088 9810023 9411044 9809149 9412219 0205226 9309033 0002003 9806084 9807110 9911201 9604073 9312079 9802105 9503190
273	9812251 9411084 9901031
274	9509068
275	0207110 0207121 9601058 9209057 9204034 0212149 9204061
276	9506072 9506073
277	9303165 9308071
278	0008248 9611037 9408073 0209173 9607224
279	9310134 9209097 9410004 9610147 9212090 9408046 9212114 9703142
